Player,Team,Positions,GP,MIN,FGM,FGA,FG%,FTM,FTA,FT%,3PM,PTS,REB,AST,STL,BLK,TO
LeBron James,PHI,SF/PF,72,34.8,9.3,17.3,0.538,4.5,6.0,0.755,2.1,25.2,7.1,8.1,1.2,0.6,3.4
James Harden,CLE,PG/SG,74,34.0,5.6,12.8,0.435,4.8,5.5,0.88,2.6,17.8,5.2,8.6,1.2,0.6,2.6
Darius Garland,LAC,PG,72,32.5,7.8,17.2,0.45,3.8,4.5,0.84,2.7,21.5,2.8,6.8,1.3,0.1,2.8
LaMelo Ball,CHA,PG,66,33.5,8.4,19.2,0.438,4.0,4.6,0.87,3.4,24.5,5.3,8.4,1.8,0.3,3.7
Scottie Barnes,TOR,SF/PF,73,35.0,7.8,16.3,0.478,3.5,4.5,0.788,1.8,20.5,8.4,6.3,1.4,1.5,2.7
De'Aaron Fox,SAC,PG,75,35.8,9.4,20.1,0.468,5.0,6.7,0.742,2.8,26.8,4.7,5.8,2.0,0.4,2.5
Ja Morant,MEM,PG,70,32.0,9.1,19.3,0.472,6.0,7.4,0.81,1.7,25.8,5.8,8.3,1.1,0.6,3.1
Paolo Banchero,ORL,SF/PF,78,35.2,8.3,18.0,0.46,6.0,8.2,0.732,1.6,23.4,7.2,5.6,1.0,0.7,3.0
Jalen Williams,OKC,SG/SF/PF,77,32.0,7.8,14.4,0.542,3.2,3.9,0.82,1.6,20.1,4.4,4.8,1.2,0.7,1.7
Evan Mobley,CLE,PF/C,76,32.0,7.0,12.0,0.585,3.0,4.1,0.725,0.5,17.5,9.8,3.4,1.0,1.6,1.8
Jaren Jackson Jr.,MEM,PF/C,72,32.0,7.8,17.4,0.448,5.6,6.9,0.812,1.9,23.0,5.8,2.4,1.3,1.8,2.4
Alperen Sengun,HOU,C,76,33.0,8.2,15.2,0.54,4.2,6.0,0.7,0.6,21.8,9.6,5.2,1.2,0.8,2.6
Mikal Bridges,NYK,SG/SF,82,34.5,7.0,15.9,0.44,3.3,4.0,0.82,2.5,20.0,4.6,3.8,1.1,0.5,1.4
DeMar DeRozan,SAC,SF/PF,76,34.8,8.6,17.7,0.485,5.6,6.5,0.86,0.8,23.2,4.2,5.2,1.1,0.5,1.7
Julius Randle,MIN,PF/C,74,34.0,8.5,17.9,0.475,5.8,7.5,0.77,1.7,23.5,9.4,4.9,0.6,0.3,2.8
Zion Williamson,NOP,PF,70,32.0,9.1,15.8,0.575,5.3,7.5,0.71,0.1,23.5,6.0,5.2,1.1,0.8,2.7
Pascal Siakam,IND,SF/PF,78,33.5,8.5,15.8,0.54,4.0,5.1,0.78,1.3,22.0,7.3,4.5,0.9,0.4,1.8
Jamal Murray,DEN,PG,70,32.0,8.4,17.3,0.485,2.9,3.4,0.858,2.5,21.6,4.2,6.7,1.0,0.7,2.1
Derrick White,BOS,PG/SG,76,33.0,5.3,11.4,0.465,2.1,2.3,0.905,2.8,15.8,4.4,5.4,1.1,1.2,1.5
Desmond Bane,MEM,SG/SF,70,34.2,8.7,18.6,0.468,3.6,4.1,0.875,3.4,24.0,4.6,5.6,1.1,0.5,2.6
Rudy Gobert,MIN,C,78,34.0,5.3,8.0,0.665,3.5,5.4,0.64,0.0,14.2,13.0,1.4,0.7,2.2,1.6
Kristaps Porzingis,BOS,PF/C,65,30.0,7.1,13.7,0.52,4.2,4.9,0.86,2.0,20.5,7.4,2.1,0.7,1.9,1.6
Fred VanVleet,HOU,PG,74,36.0,5.4,12.9,0.418,2.8,3.2,0.862,3.0,17.2,3.8,8.0,1.4,0.8,1.6
Dejounte Murray,NOP,PG/SG,76,35.5,8.3,18.1,0.46,2.7,3.4,0.795,2.4,22.0,5.4,6.5,1.5,0.3,2.3
Coby White,CHI,PG/SG,80,35.8,7.2,16.0,0.45,3.2,3.8,0.84,2.7,19.8,4.6,5.3,0.8,0.3,2.1
Jarrett Allen,CLE,C,78,32.0,6.7,10.5,0.638,3.4,4.5,0.745,0.0,16.8,10.8,2.8,0.8,1.2,1.6
Immanuel Quickley,TOR,PG/SG,74,33.5,6.4,14.6,0.438,3.8,4.5,0.845,2.9,19.2,5.0,7.0,1.0,0.2,2.2
Josh Giddey,CHI,PG/SG,76,29.5,6.2,12.9,0.48,1.8,2.2,0.81,1.5,15.5,7.2,6.8,1.0,0.6,2.2
Austin Reaves,LAL,PG/SG,79,32.5,5.7,11.6,0.49,3.4,3.9,0.87,2.0,16.5,4.5,5.8,0.9,0.3,2.0
Jalen Duren,DET,C,73,29.5,5.8,9.2,0.625,2.7,3.4,0.795,0.0,14.2,12.0,2.5,0.6,0.9,2.0
Miles Bridges,CHA,SF/PF,72,37.0,8.2,17.6,0.465,2.9,3.5,0.83,2.4,21.5,7.5,3.5,1.0,0.5,1.9
Anfernee Simons,POR,PG/SG,70,34.5,8.1,18.6,0.435,3.6,3.9,0.918,3.5,22.8,3.7,5.6,0.6,0.2,2.6
Tyler Herro,MIA,PG/SG,70,33.8,7.8,17.5,0.445,3.0,3.5,0.86,3.2,21.2,5.4,4.6,0.8,0.2,2.1
Franz Wagner,ORL,SG/SF,77,32.8,7.5,15.5,0.485,3.8,4.4,0.855,1.5,20.2,5.5,3.9,1.2,0.4,1.8
Myles Turner,IND,C,78,27.5,6.1,11.6,0.528,3.3,4.2,0.775,1.6,17.4,7.1,1.4,0.6,2.0,1.4
Brook Lopez,MIL,C,79,30.0,4.6,9.6,0.48,1.7,2.1,0.82,1.8,12.8,5.0,1.5,0.5,2.3,1.0
Jalen Green,PHX,SG,79,33.5,7.4,17.2,0.43,4.1,5.1,0.805,2.6,21.5,5.2,3.6,0.9,0.4,2.2
Naz Reid,CHA,PF/C,81,25.5,5.6,11.5,0.485,2.1,2.8,0.75,2.3,15.2,6.0,1.6,0.9,1.0,1.4
Klay Thompson,DAL,SG/SF,76,29.5,6.4,14.7,0.435,1.7,1.9,0.925,3.6,17.5,3.4,2.4,0.7,0.5,1.4
Zach Edey,MEM,C,75,26.5,5.8,9.8,0.59,2.8,3.9,0.72,0.0,14.2,9.5,1.2,0.5,1.8,1.5
Reed Sheppard,HOU,PG/SG,74,25.5,4.6,9.7,0.475,1.6,1.9,0.845,2.3,13.0,3.4,3.8,1.5,0.8,1.5
Stephon Castle,SAS,PG/SG,72,27.5,4.6,10.7,0.43,2.6,3.4,0.77,1.1,12.8,4.0,4.2,1.1,0.6,1.7
Alex Sarr,WAS,PF/C,74,28.0,5.0,11.9,0.42,2.3,3.1,0.73,1.4,13.5,7.2,2.2,0.8,2.0,1.6
Dalton Knecht,LAL,SG/SF,74,24.0,4.7,10.3,0.458,1.7,2.0,0.835,2.3,13.4,3.6,1.8,0.7,0.4,1.1
Nic Claxton,BKN,C,73,30.0,5.1,8.1,0.63,1.8,3.2,0.55,0.0,12.0,10.0,2.2,0.6,2.1,1.3
Cam Thomas,BKN,SG/SF,74,32.0,8.0,18.0,0.445,4.8,5.6,0.86,2.3,23.0,3.4,3.1,0.8,0.2,1.9
Jonas Valanciunas,WAS,C,77,26.0,5.0,9.0,0.555,2.1,2.7,0.78,0.4,12.8,9.6,2.0,0.4,0.8,1.4
Herbert Jones,NOP,SF/PF,77,31.0,4.0,8.0,0.5,2.0,2.3,0.87,1.6,11.5,3.7,2.7,1.5,0.8,1.3
Alex Caruso,OKC,PG/SG,72,29.0,3.7,7.8,0.47,1.3,1.7,0.765,1.8,10.5,3.9,3.6,1.7,1.0,1.4
Trey Murphy III,NOP,SG/SF,70,30.5,5.0,11.2,0.445,2.4,2.9,0.82,3.2,15.6,5.2,2.4,1.0,0.5,1.1
Bogdan Bogdanovic,ATL,SG/SF,76,30.5,6.1,14.1,0.43,1.9,2.0,0.92,3.1,17.2,3.5,3.2,1.2,0.3,1.4
Dennis Schroder,CHA,PG,79,31.5,5.1,11.8,0.438,2.6,3.0,0.855,1.6,14.4,3.1,6.3,1.0,0.2,2.3
Tre Jones,SAS,PG,76,28.0,4.0,7.9,0.508,1.6,1.8,0.86,0.9,10.4,3.9,6.4,1.1,0.1,1.5
Caris LeVert,CLE,SG/SF,72,29.0,4.8,11.4,0.425,2.8,3.5,0.77,1.7,14.3,4.2,5.2,1.2,0.5,1.7
Daniel Gafford,DAL,PF/C,75,22.0,4.7,6.5,0.728,1.9,2.7,0.71,0.0,11.4,7.8,1.7,0.9,2.1,1.0
Dereck Lively II,DAL,C,70,24.5,4.1,5.4,0.75,1.1,1.8,0.61,0.0,9.3,7.3,1.3,0.8,1.5,1.0
Amen Thompson,HOU,PG/SG/SF,74,26.5,4.3,8.0,0.54,1.7,2.4,0.69,0.3,10.6,7.0,2.8,1.4,0.7,1.5
Ausar Thompson,DET,SG/SF,72,26.0,4.0,8.1,0.488,1.2,1.8,0.66,0.4,9.6,6.8,2.1,1.2,1.0,1.2
Jonathan Kuminga,GSW,PF,75,27.5,6.7,12.5,0.535,3.3,4.4,0.75,0.8,17.5,5.2,2.4,0.8,0.5,1.8
Jalen Suggs,ORL,PG/SG,76,27.5,4.6,9.6,0.478,2.0,2.6,0.76,2.1,13.3,3.3,2.9,1.5,0.6,1.7
Jrue Holiday,BOS,PG/SG,73,32.5,4.9,10.2,0.482,1.4,1.7,0.815,2.1,13.3,5.5,4.9,1.0,0.8,1.6
Jaylen Brown,BOS,SG/SF,74,33.8,9.0,18.2,0.495,3.7,5.2,0.71,2.5,24.2,5.7,3.8,1.2,0.5,2.4
Kobe Bufkin,ATL,PG/SG,68,22.0,3.6,8.6,0.418,1.6,2.0,0.8,1.4,10.2,2.8,3.0,0.8,0.4,1.3
Zaccharie Risacher,ATL,SF,74,27.0,4.5,11.0,0.41,2.0,2.7,0.73,1.8,12.8,4.5,1.8,0.9,0.6,1.4
Kyshawn George,WAS,SG/SF,72,24.0,3.6,8.2,0.435,1.4,1.7,0.81,1.6,10.2,4.2,2.8,0.9,0.6,1.3
Bub Carrington,WAS,PG/SG,72,26.5,4.2,10.4,0.405,2.0,2.4,0.825,1.6,12.0,3.8,4.6,0.9,0.3,1.8
Matas Buzelis,CHI,SF/PF,70,25.0,4.1,9.4,0.435,2.0,2.6,0.76,1.3,11.5,5.0,1.8,0.9,1.3,1.5
Ron Holland,DET,SF/PF,68,23.5,3.8,8.6,0.445,2.2,3.0,0.73,0.8,10.6,4.8,2.0,1.2,0.7,1.7
Kel'el Ware,MIA,C,70,20.0,4.0,6.8,0.588,1.6,2.2,0.715,0.4,10.0,6.8,1.0,0.5,1.6,0.9
Brandon Miller,CHA,SG/SF,74,33.0,6.8,15.5,0.438,2.6,3.1,0.835,2.7,18.9,4.6,2.6,1.0,0.6,1.8
Royce O'Neale,CHA,SG/SF,76,25.0,2.8,7.0,0.4,0.6,0.8,0.7,1.9,8.1,5.0,3.0,0.8,0.6,1.1
Dyson Daniels,ATL,PG/SG,76,32.5,5.6,12.0,0.465,1.9,2.7,0.7,1.4,14.5,5.0,4.0,2.9,0.8,1.9
Jalen Smith,CHI,PF/C,74,23.0,4.4,8.0,0.55,1.7,2.1,0.81,1.3,11.8,6.8,1.3,0.6,1.0,1.0
Noah Clowney,BKN,PF/C,72,23.5,3.8,7.8,0.485,1.5,2.1,0.71,1.1,10.2,5.8,1.3,0.6,1.3,0.9
Scotty Pippen Jr.,MEM,PG,72,25.0,4.4,9.5,0.46,2.5,3.1,0.805,1.3,12.6,3.6,5.1,1.6,0.3,1.8
Donovan Clingan,POR,C,70,22.0,3.8,6.6,0.575,1.4,2.2,0.61,0.0,9.0,7.8,1.1,0.4,2.0,1.2
Yves Missi,NOP,C,72,23.5,4.0,7.1,0.565,1.5,2.3,0.645,0.0,9.5,7.4,0.9,0.6,1.6,1.3
Tari Eason,HOU,SF/PF,70,23.0,4.0,8.5,0.47,1.7,2.2,0.76,1.0,10.5,7.4,1.3,1.5,1.0,0.9
Payton Pritchard,BOS,PG,80,25.0,4.4,9.5,0.462,1.1,1.3,0.84,2.4,12.3,3.6,4.0,0.7,0.1,1.0
De'Anthony Melton,GSW,PG/SG,70,27.5,3.8,9.5,0.395,1.4,1.6,0.84,2.1,11.0,3.9,3.2,1.7,0.5,1.4
Marcus Smart,MEM,PG/SG,68,30.5,5.0,12.3,0.42,2.9,3.6,0.805,2.2,15.1,2.8,4.5,2.1,0.3,2.4
Norman Powell,LAC,SG/SF,78,27.0,5.0,10.1,0.49,2.6,3.0,0.87,2.3,14.9,2.8,1.2,0.7,0.3,1.1
Sam Hauser,BOS,SF/PF,77,23.0,3.4,7.5,0.45,0.5,0.6,0.81,2.6,9.8,3.7,1.1,0.6,0.3,0.4
Al Horford,BOS,C,70,26.5,3.1,6.1,0.515,0.6,0.7,0.87,1.5,8.4,6.2,2.5,0.6,1.0,0.9
Precious Achiuwa,NYK,PF/C,74,25.0,3.4,6.3,0.53,1.3,2.0,0.62,0.4,8.1,7.0,1.4,0.7,1.0,1.1
Gary Trent Jr.,MIL,SG/SF,78,28.5,4.8,11.3,0.43,1.7,1.9,0.885,2.6,14.1,2.4,1.8,1.1,0.1,0.8
T.J. McConnell,IND,PG,76,18.5,4.7,8.3,0.56,1.1,1.4,0.795,0.2,10.5,2.8,5.7,1.1,0.1,1.3
Malik Monk,SAC,SG,74,26.8,5.9,13.1,0.448,2.6,3.1,0.835,2.2,16.0,3.0,5.3,0.7,0.5,2.1
Buddy Hield,GSW,SG/SF,80,26.5,4.6,10.5,0.44,1.1,1.3,0.885,2.9,13.2,3.8,2.9,0.8,0.5,1.3
Grayson Allen,PHX,SG/SF,77,33.8,4.6,9.3,0.502,2.0,2.3,0.88,2.8,14.0,4.0,3.1,1.0,0.6,1.3
De'Andre Hunter,ATL,SF/PF,70,30.0,5.4,11.8,0.46,3.1,3.6,0.86,1.9,15.8,4.0,1.6,0.8,0.3,1.4
Jabari Smith Jr.,HOU,PF/C,78,31.5,5.2,11.3,0.458,2.4,2.9,0.825,1.9,14.7,8.3,1.7,0.6,0.9,1.3
John Collins,UTA,PF/C,70,28.5,6.0,11.2,0.536,2.5,3.2,0.778,1.3,15.8,8.8,1.2,0.6,1.0,1.5
Saddiq Bey,WAS,SF/PF,68,28.5,4.6,11.0,0.42,2.9,3.5,0.828,2.0,14.1,5.7,1.6,0.8,0.2,1.0
Jordan Clarkson,UTA,PG/SG,70,29.5,6.3,15.0,0.422,2.9,3.3,0.88,2.0,17.5,3.5,5.2,0.7,0.1,2.6
Collin Sexton,UTA,PG/SG,78,27.0,7.0,14.0,0.498,3.8,4.4,0.865,1.7,19.2,2.7,5.1,0.9,0.2,2.0
Walker Kessler,UTA,C,70,26.5,3.9,6.0,0.658,1.3,2.1,0.61,0.0,9.1,8.8,1.1,0.5,2.7,1.1
Jeremy Sochan,SAS,PF,72,29.5,5.0,10.8,0.462,1.9,2.6,0.725,0.9,12.8,7.1,3.6,0.9,0.6,1.8
Keldon Johnson,SAS,SF/PF,77,27.5,5.8,12.5,0.462,2.7,3.5,0.77,1.7,16.0,5.4,2.7,0.7,0.3,1.5
Onyeka Okongwu,ATL,C,74,26.5,4.4,7.0,0.622,2.3,2.9,0.79,0.4,11.5,7.8,1.5,0.7,1.3,1.0
Jalen Johnson,ATL,SF/PF,74,34.5,7.1,13.8,0.51,2.6,3.5,0.735,1.4,18.2,9.6,4.1,1.3,1.0,2.0
Donte DiVincenzo,MIN,SG/SF,80,29.5,5.6,12.5,0.448,1.5,1.9,0.76,3.6,16.2,3.9,2.9,1.4,0.4,1.3
Brandin Podziemski,GSW,PG/SG,76,27.0,3.8,8.4,0.458,1.0,1.5,0.64,1.3,9.6,6.0,3.9,0.9,0.2,1.2
Bobby Portis,MIL,PF/C,81,25.5,5.8,11.3,0.512,1.7,2.1,0.795,1.3,14.3,7.6,1.4,0.8,0.4,1.1
Ivica Zubac,LAC,C,76,26.8,5.1,7.8,0.654,2.0,2.7,0.728,0.0,12.2,9.5,1.5,0.3,1.3,1.2
Kelly Olynyk,TOR,PF/C,72,21.0,3.5,6.6,0.535,2.0,2.4,0.83,0.9,10.2,5.3,4.6,1.0,0.4,1.6
Cole Anthony,ORL,PG/SG,78,22.8,4.3,10.0,0.438,2.2,2.6,0.83,1.2,12.0,4.0,3.0,0.8,0.5,1.5
Harrison Barnes,SAS,SF/PF,80,28.5,4.1,8.7,0.478,2.5,3.1,0.805,1.6,12.4,3.1,1.3,0.7,0.1,0.8
Kyle Lowry,PHI,PG,70,26.0,2.5,6.5,0.385,1.2,1.5,0.83,1.5,7.8,3.0,4.0,1.0,0.3,1.3
Aaron Nesmith,IND,SG/SF,74,28.0,4.5,9.1,0.5,1.4,1.8,0.785,2.0,12.6,4.0,1.6,0.9,0.7,1.0
Keegan Murray,SAC,SF/PF,79,34.0,6.0,13.0,0.458,1.5,1.8,0.835,2.5,15.8,5.7,1.8,1.1,0.8,1.0
Jaden McDaniels,MIN,SF/PF,77,29.5,4.2,8.5,0.492,1.2,1.6,0.725,1.3,11.0,3.2,1.5,0.9,0.9,1.2
Dalton Knecht,LAL,SG/SF,74,24.0,4.7,10.3,0.458,1.7,2.0,0.835,2.3,13.4,3.6,1.8,0.7,0.4,1.1
Kobe Bufkin,ATL,PG/SG,68,22.0,3.6,8.6,0.418,1.6,2.0,0.8,1.4,10.2,2.8,3.0,0.8,0.4,1.3
Tre Mann,CHA,PG/SG,74,28.5,5.0,11.1,0.448,1.9,2.3,0.82,1.9,13.8,4.4,4.8,1.3,0.2,1.8
Kyle Kuzma,WAS,PF,72,33.0,8.8,18.9,0.465,3.6,4.6,0.78,2.3,23.4,6.8,4.4,0.5,0.7,2.7
Jerami Grant,POR,SF/PF,70,34.0,6.7,14.8,0.455,5.3,6.5,0.815,2.2,20.9,3.6,2.9,0.8,0.6,2.1
Kelly Oubre Jr.,PHI,SG/SF,74,30.5,5.8,13.1,0.445,2.8,3.7,0.755,1.6,16.0,5.2,1.6,1.1,0.7,1.2
Keyonte George,UTA,PG/SG,77,27.5,4.5,11.3,0.395,2.9,3.4,0.85,2.1,13.5,2.9,4.6,0.6,0.1,2.5
Bilal Coulibaly,WAS,SG/SF,76,27.8,3.3,7.5,0.44,1.6,2.2,0.705,1.1,9.0,4.3,1.8,1.0,0.9,1.4
Taylor Hendricks,UTA,PF/C,72,26.5,3.8,8.3,0.455,1.3,1.6,0.805,1.6,10.4,6.3,1.1,0.9,1.3,0.8
Kyshawn George,WAS,SG/SF,72,24.0,3.6,8.2,0.435,1.4,1.7,0.81,1.6,10.2,4.2,2.8,0.9,0.6,1.3
Guerschon Yabusele,PHI,PF,70,21.0,3.6,7.1,0.505,1.9,2.4,0.785,1.1,10.2,5.1,1.7,0.8,0.4,1.1
Tidjane Salaun,CHA,SF/PF,68,21.0,3.2,7.8,0.405,1.6,2.1,0.755,1.2,9.2,4.8,1.3,0.7,0.5,1.2
Ryan Dunn,PHX,SF/PF,68,19.0,2.7,5.8,0.46,0.9,1.3,0.67,1.1,7.4,3.5,0.9,0.9,1.1,0.6
Jared McCain,PHI,PG/SG,70,23.0,4.2,9.8,0.425,1.6,1.9,0.835,1.9,11.9,3.0,2.6,0.7,0.1,1.1
Rob Dillingham,MIN,PG,68,19.0,3.7,8.9,0.415,1.3,1.6,0.805,1.3,10.0,2.0,3.8,0.8,0.1,1.6
Keon Ellis,SAC,PG/SG,72,22.0,2.8,5.9,0.468,1.0,1.2,0.82,1.5,8.1,3.0,2.1,1.4,0.7,0.7
Deandre Ayton,POR,C,72,32.8,7.7,13.5,0.57,1.8,2.2,0.812,0.1,17.3,11.4,1.7,1.0,0.9,1.7
Josh Hart,NYK,SG/SF,80,33.8,3.8,8.5,0.442,1.7,2.1,0.805,1.1,10.3,8.6,4.3,1.0,0.3,1.4
Luguentz Dort,OKC,SG/SF,80,28.8,3.9,8.8,0.442,1.8,2.2,0.83,2.1,11.4,3.8,1.5,1.0,0.6,0.9
Tre Mann,CHA,PG/SG,74,28.5,5.0,11.1,0.448,1.9,2.3,0.82,1.9,13.8,4.4,4.8,1.3,0.2,1.8
Ajay Mitchell,OKC,PG/SG,68,19.0,3.0,6.3,0.47,1.3,1.6,0.805,0.7,8.0,2.4,3.0,0.8,0.2,1.0
Nikola Jovic,MIA,SF/PF,72,24.0,3.7,8.1,0.452,1.6,2.0,0.792,1.4,10.4,4.9,2.5,0.8,0.4,1.2
Peyton Watson,DEN,SF/PF,77,21.0,3.2,6.7,0.472,1.1,1.6,0.67,0.8,8.3,3.8,1.3,0.7,1.2,0.8
Julian Strawther,DEN,SG/SF,74,22.0,3.8,8.9,0.426,1.3,1.6,0.805,1.7,10.6,2.7,1.6,0.7,0.2,0.9
Jaylen Wells,MEM,SG/SF,72,25.0,4.0,9.2,0.435,1.5,1.9,0.78,1.7,11.2,3.6,2.0,0.8,0.2,1.0
Toumani Camara,POR,SF/PF,77,27.0,3.2,7.1,0.445,1.3,1.7,0.755,1.1,8.8,5.5,1.8,1.1,0.6,1.1
Day'Ron Sharpe,BKN,C,68,17.0,3.0,5.1,0.588,1.5,2.3,0.64,0.0,7.5,7.2,1.5,0.6,1.0,1.1
Goga Bitadze,ORL,C,68,19.0,3.0,5.0,0.6,1.3,1.9,0.67,0.0,7.3,6.2,1.4,0.6,1.5,0.8
Tristan da Silva,ORL,SF/PF,70,23.0,3.7,8.4,0.442,1.5,1.9,0.782,1.3,10.2,4.0,2.0,0.7,0.4,1.0
Julian Champagnie,SAS,SG/SF,74,23.0,3.4,7.9,0.43,1.1,1.3,0.838,1.7,9.6,4.0,1.5,0.8,0.5,0.8
Malaki Branham,SAS,PG/SG,70,21.0,3.8,8.6,0.442,1.2,1.4,0.85,1.2,10.0,2.2,2.3,0.5,0.1,1.0
Blake Wesley,SAS,PG,62,17.0,2.2,4.9,0.44,0.9,1.3,0.67,0.5,5.8,2.0,3.0,0.9,0.1,1.2
David Roddy,ATL,SF/PF,62,16.0,2.6,5.8,0.44,0.9,1.3,0.67,0.9,7.0,3.0,1.3,0.6,0.3,0.8
Larry Nance Jr.,ATL,PF/C,67,19.0,2.6,4.5,0.575,1.1,1.5,0.72,0.6,6.9,5.4,2.0,1.1,0.5,0.8
Garrison Mathews,ATL,SG/SF,62,16.0,2.0,4.5,0.432,1.1,1.3,0.838,1.5,6.6,1.7,0.9,0.5,0.1,0.4
Isaac Okoro,CLE,SG/SF,74,26.0,3.6,7.3,0.49,1.9,2.5,0.755,1.2,10.3,3.2,2.0,0.9,0.4,0.9
Dean Wade,CLE,SF/PF,67,21.0,2.2,5.1,0.42,0.6,0.8,0.72,1.5,6.5,4.3,1.1,0.8,0.6,0.5
Georges Niang,CLE,PF,77,23.0,3.6,8.2,0.44,0.9,1.1,0.805,1.9,10.0,3.6,1.3,0.5,0.2,0.8
Sam Merrill,CLE,SG,70,19.0,3.0,7.1,0.415,0.7,0.8,0.86,2.4,9.1,2.2,1.8,0.5,0.1,0.5
Luke Kornet,BOS,C,67,17.0,2.7,3.8,0.7,1.1,1.3,0.838,0.0,6.5,5.0,1.3,0.5,1.1,0.5
Xavier Tillman,BOS,PF/C,58,15.0,2.2,4.5,0.48,0.7,1.1,0.61,0.5,5.6,4.1,1.1,0.7,0.7,0.6
Neemias Queta,BOS,C,62,15.0,2.8,4.3,0.655,1.1,1.6,0.67,0.0,6.7,5.6,0.9,0.5,1.1,0.7
Baylor Scheierman,BOS,SG/SF,48,11.0,1.6,4.0,0.395,0.5,0.6,0.81,1.0,4.7,2.1,1.0,0.4,0.1,0.5
Carlton Carrington,WAS,PG/SG,72,26.5,4.2,10.4,0.405,2.0,2.4,0.825,1.6,12.0,3.8,4.6,0.9,0.3,1.8
Vince Williams Jr.,MEM,SG/SF,70,28.5,3.8,8.4,0.448,2.0,2.5,0.788,1.6,11.2,6.0,3.7,1.0,0.8,2.0
GG Jackson,MEM,SF/PF,68,27.0,5.9,13.5,0.435,2.3,3.0,0.755,2.3,16.4,4.4,1.4,0.7,0.6,1.5
Christian Braun,DEN,SG/SF,80,29.5,4.9,9.7,0.505,2.0,2.5,0.788,1.4,13.2,5.2,2.5,1.1,0.7,1.1
Wendell Carter Jr.,ORL,C,66,26.5,4.3,8.1,0.53,2.3,3.2,0.7,1.3,12.2,7.4,1.9,0.7,0.6,1.3
CJ McCollum,ATL,PG/SG,70,33.5,7.9,17.1,0.462,1.9,2.3,0.83,3.8,21.5,4.5,4.8,1.0,0.6,1.9
